 Taxa de analfabetismo - Brasil
Taxa de analfabetismo por Município
Período:2010
"Município";"Taxa_de_analfabetismo"
"260240 BREJAO";30,7
"260250 BREJINHO";25,1
"260260 BREJO DA MADRE DE DEUS";29,7
"260270 BUENOS AIRES";27,1
"260280 BUIQUE";39,4
"260290 CABO DE SANTO AGOSTINHO";12,5
"260300 CABROBO";23,8
"260310 CACHOEIRINHA";32,1
"260320 CAETES";39,5
"260330 CALCADO";31,7
"260340 CALUMBI";33,9
"260345 CAMARAGIBE";10,6
"260350 CAMOCIM DE SAO FELIX";30,2
"260360 CAMUTANGA";27,4
"260370 CANHOTINHO";35,1
"260380 CAPOEIRAS";30,3
"260390 CARNAIBA";25,5
"260392 CARNAUBEIRA DA PENHA";26,6
"260400 CARPINA";15,9
"260410 CARUARU";14,9
"260415 CASINHAS";31,3
"260420 CATENDE";25,2
"260430 CEDRO";21,8
"260440 CHA DE ALEGRIA";23,9
"260450 CHA GRANDE";30,2
"260460 CONDADO";25,2
"260470 CORRENTES";32,5
"260480 CORTES";27,8
"260490 CUMARU";30,2
"260500 CUPIRA";30,1
"260510 CUSTODIA";26,3
"260515 DORMENTES";25,9
"260520 ESCADA";21,1
"260530 EXU";25,6
"260540 FEIRA NOVA";29,0
"260545 FERNANDO DE NORONHA";4,8
"260550 FERREIROS";29,1
"260560 FLORES";31,9
"260570 FLORESTA";18,0
"260580 FREI MIGUELINHO";30,4
"260590 GAMELEIRA";26,5
"260600 GARANHUNS";17,0
"260610 GLORIA DO GOITA";28,0
"260620 GOIANA";16,9
"260630 GRANITO";25,6
"260640 GRAVATA";22,2
"260650 IATI";38,8
"260660 IBIMIRIM";31,5
"260670 IBIRAJUBA";34,1
"260680 IGARASSU";13,9
"260690 IGUARACY";28,3
"260700 INAJA";32,4
"260710 INGAZEIRA";25,3
"260720 IPOJUCA";20,3
"260730 IPUBI";28,7
"260740 ITACURUBA";21,9
"260750 ITAIBA";40,7
"260760 ILHA DE ITAMARACA";12,1
"260765 ITAMBE";30,0
"260770 ITAPETIM";25,1
"260775 ITAPISSUMA";16,7
"260780 ITAQUITINGA";27,1
"260790 JABOATAO DOS GUARARAPES";8,7
"260795 JAQUEIRA";30,9
"260800 JATAUBA";34,5
"260805 JATOBA";22,8
"260810 JOAO ALFREDO";35,1
"260820 JOAQUIM NABUCO";29,0
"260825 JUCATI";30,3
"260830 JUPI";31,2
"260840 JUREMA";38,0
"260845 LAGOA DO CARRO";23,4
"260850 LAGOA DE ITAENGA";26,5
"260860 LAGOA DO OURO";39,6
"260870 LAGOA DOS GATOS";38,5
"260875 LAGOA GRANDE";24,4
"260880 LAJEDO";26,0
"260890 LIMOEIRO";18,6
"260900 MACAPARANA";30,2
"260910 MACHADOS";33,1
"260915 MANARI";40,9
"260920 MARAIAL";35,3
"260930 MIRANDIBA";22,2
"260940 MORENO";16,2
"260950 NAZARE DA MATA";17,3
"260960 OLINDA";6,5
"260970 OROBO";30,3
"260980 OROCO";22,6
"260990 OURICURI";28,0
"261000 PALMARES";20,2
"261010 PALMEIRINA";32,4
"261020 PANELAS";37,9
"261030 PARANATAMA";35,0
"261040 PARNAMIRIM";24,9
"261050 PASSIRA";32,6
"261060 PAUDALHO";20,8
"261070 PAULISTA";5,9
"261080 PEDRA";32,4
"261090 PESQUEIRA";23,3
"261100 PETROLANDIA";17,6
"261110 PETROLINA";11,4
"261120 POCAO";33,5
"261130 POMBOS";27,7
"261140 PRIMAVERA";26,9
"261150 QUIPAPA";39,3
"261153 QUIXABA";26,3
"261160 RECIFE";6,9
"261170 RIACHO DAS ALMAS";34,4
"261180 RIBEIRAO";22,8
"261190 RIO FORMOSO";22,2
"261200 SAIRE";33,9
"261210 SALGADINHO";47,1
"261220 SALGUEIRO";16,2
"261230 SALOA";33,4
"261240 SANHARO";24,9
"261245 SANTA CRUZ";30,1
"261247 SANTA CRUZ DA BAIXA VERDE";26,7
"261250 SANTA CRUZ DO CAPIBARIBE";15,1
"261255 SANTA FILOMENA";31,8
"261260 SANTA MARIA DA BOA VISTA";21,8
"261270 SANTA MARIA DO CAMBUCA";33,9
"261280 SANTA TEREZINHA";23,8
"261290 SAO BENEDITO DO SUL";36,4
"261300 SAO BENTO DO UNA";29,0
"261310 SAO CAITANO";28,9
"261320 SAO JOAO";31,9
"261330 SAO JOAQUIM DO MONTE";34,3
"261340 SAO JOSE DA COROA GRANDE";22,7
"261350 SAO JOSE DO BELMONTE";25,7
"261360 SAO JOSE DO EGITO";20,1
"261370 SAO LOURENCO DA MATA";15,7
"261380 SAO VICENTE FERRER";30,5
"261390 SERRA TALHADA";19,9
"261400 SERRITA";24,7
"261410 SERTANIA";26,3
"261420 SIRINHAEM";23,2
"261430 MOREILANDIA";23,8
"261440 SOLIDAO";25,8
"261450 SURUBIM";24,2
"261460 TABIRA";21,3
"261470 TACAIMBO";35,8
"261480 TACARATU";25,3
"261485 TAMANDARE";21,9
"261500 TAQUARITINGA DO NORTE";22,3
"261510 TEREZINHA";36,4
"261520 TERRA NOVA";19,9
"261530 TIMBAUBA";20,1
"261540 TORITAMA";19,7
"261550 TRACUNHAEM";22,6
"261560 TRINDADE";25,7
"261570 TRIUNFO";17,3
"261580 TUPANATINGA";39,2
"261590 TUPARETAMA";22,6
"261600 VENTUROSA";27,3
"261610 VERDEJANTE";26,6
"261618 VERTENTE DO LERIO";33,2
"261620 VERTENTES";23,9
"261630 VICENCIA";22,1
"261640 VITORIA DE SANTO ANTAO";21,6
"261650 XEXEU";32,9
"270010 AGUA BRANCA";30,1
"270020 ANADIA";35,6
"270030 ARAPIRACA";21,9
"270040 ATALAIA";32,3
"270050 BARRA DE SANTO ANTONIO";26,4
"270060 BARRA DE SAO MIGUEL";22,6
"270070 BATALHA";28,5
"270080 BELEM";31,8
"270090 BELO MONTE";38,0
"270100 BOCA DA MATA";25,9
"270110 BRANQUINHA";40,0
"270120 CACIMBINHAS";39,7
"270130 CAJUEIRO";33,5
"270135 CAMPESTRE";32,7
"270140 CAMPO ALEGRE";27,0
"270150 CAMPO GRANDE";39,4
"270160 CANAPI";40,3
"270170 CAPELA";31,9
"270180 CARNEIROS";28,6
"270190 CHA PRETA";35,1
"270200 COITE DO NOIA";39,8
"270210 COLONIA LEOPOLDINA";34,0
"270220 COQUEIRO SECO";29,2
"270230 CORURIPE";21,5
"270235 CRAIBAS";41,5
"270240 DELMIRO GOUVEIA";23,4
"270250 DOIS RIACHOS";38,0
"270255 ESTRELA DE ALAGOAS";40,1
"270260 FEIRA GRANDE";38,3
"270270 FELIZ DESERTO";31,4
"270280 FLEXEIRAS";32,6
"270290 GIRAU DO PONCIANO";34,5
"270300 IBATEGUARA";37,5
"270310 IGACI";37,2
"270320 IGREJA NOVA";35,8
"270330 INHAPI";39,3
"270340 JACARE DOS HOMENS";27,0
"270350 JACUIPE";31,0
"270360 JAPARATINGA";27,7
"270370 JARAMATAIA";37,0
"270375 JEQUIA DA PRAIA";28,2
"270380 JOAQUIM GOMES";38,0
"270390 JUNDIA";30,0
"270400 JUNQUEIRO";32,9
"270410 LAGOA DA CANOA";36,2
"270420 LIMOEIRO DE ANADIA";34,7
"270430 MACEIO";11,3
"270440 MAJOR ISIDORO";34,6
"270450 MARAGOGI";29,1
"270460 MARAVILHA";28,4
"270470 MARECHAL DEODORO";20,9
"270480 MARIBONDO";28,9
"270490 MAR VERMELHO";28,1
"270500 MATA GRANDE";38,8
"270510 MATRIZ DE CAMARAGIBE";29,9
"270520 MESSIAS";31,4
"270530 MINADOR DO NEGRAO";41,9
"270540 MONTEIROPOLIS";36,7
"270550 MURICI";30,1
"270560 NOVO LINO";35,5
"270570 OLHO D'AGUA DAS FLORES";29,8
"270580 OLHO D'AGUA DO CASADO";36,5
"270590 OLHO D'AGUA GRANDE";40,9
"270600 OLIVENCA";37,6
"270610 OURO BRANCO";31,3
"270620 PALESTINA";36,5
"270630 PALMEIRA DOS INDIOS";22,9
"270640 PAO DE ACUCAR";29,9
"270642 PARICONHA";29,4
"270644 PARIPUEIRA";23,9
"270650 PASSO DE CAMARAGIBE";32,4
"270660 PAULO JACINTO";30,1
"270670 PENEDO";23,1
"270680 PIACABUCU";30,1
"270690 PILAR";25,0
"270700 PINDOBA";37,5
"270710 PIRANHAS";30,4
"270720 POCO DAS TRINCHEIRAS";33,3
"270730 PORTO CALVO";26,4
"270740 PORTO DE PEDRAS";31,4
"270750 PORTO REAL DO COLEGIO";34,5
"270760 QUEBRANGULO";31,1
"270770 RIO LARGO";17,0
"270780 ROTEIRO";37,2
"270790 SANTA LUZIA DO NORTE";23,3
"270800 SANTANA DO IPANEMA";28,5
"270810 SANTANA DO MUNDAU";39,7
"270820 SAO BRAS";34,3
"270830 SAO JOSE DA LAJE";30,4
"270840 SAO JOSE DA TAPERA";35,1
"270850 SAO LUIS DO QUITUNDE";33,3
"270860 SAO MIGUEL DOS CAMPOS";19,9
"270870 SAO MIGUEL DOS MILAGRES";28,2
"270880 SAO SEBASTIAO";34,8
"270890 SATUBA";17,9
"270895 SENADOR RUI PALMEIRA";35,3
"270900 TANQUE D'ARCA";38,4
"270910 TAQUARANA";37,0
"270915 TEOTONIO VILELA";27,4
"270920 TRAIPU";44,9
"270930 UNIAO DOS PALMARES";31,2
"270940 VICOSA";31,8
"280010 AMPARO DE SAO FRANCISCO";22,8
"280020 AQUIDABA";27,8
"280030 ARACAJU";6,6
"280040 ARAUA";27,8
"280050 AREIA BRANCA";25,3
"280060 BARRA DOS COQUEIROS";12,8
"280067 BOQUIM";23,1
"280070 BREJO GRANDE";31,4
"280100 CAMPO DO BRITO";27,5
"280110 CANHOBA";32,0
"280120 CANINDE DE SAO FRANCISCO";30,8
"280130 CAPELA";22,9
"280140 CARIRA";34,2
"280150 CARMOPOLIS";12,7
"280160 CEDRO DE SAO JOAO";20,9
"280170 CRISTINAPOLIS";28,8
"280190 CUMBE";25,2
"280200 DIVINA PASTORA";23,5
"280210 ESTANCIA";17,6
"280220 FEIRA NOVA";29,4
"280230 FREI PAULO";26,7
"280240 GARARU";30,0
"280250 GENERAL MAYNARD";14,0
"280260 GRACHO CARDOSO";30,2
"280270 ILHA DAS FLORES";23,3
"280280 INDIAROBA";24,1
"280290 ITABAIANA";21,9
"280300 ITABAIANINHA";29,4
"280310 ITABI";29,1
"280320 ITAPORANGA D'AJUDA";25,7
"280330 JAPARATUBA";19,4
"280340 JAPOATA";30,8
"280350 LAGARTO";24,5
"280360 LARANJEIRAS";14,0
"280370 MACAMBIRA";32,3
"280380 MALHADA DOS BOIS";23,2
"280390 MALHADOR";25,0
"280400 MARUIM";17,3
"280410 MOITA BONITA";26,6
"280420 MONTE ALEGRE DE SERGIPE";33,5
"280430 MURIBECA";24,0
"280440 NEOPOLIS";22,8
"280445 NOSSA SENHORA APARECIDA";36,0
"280450 NOSSA SENHORA DA GLORIA";26,2
"280460 NOSSA SENHORA DAS DORES";27,7
"280470 NOSSA SENHORA DE LOURDES";26,9
"280480 NOSSA SENHORA DO SOCORRO";10,6
"280490 PACATUBA";30,1
"280500 PEDRA MOLE";26,3
"280510 PEDRINHAS";26,0
"280520 PINHAO";30,6
"280530 PIRAMBU";18,7
"280540 POCO REDONDO";35,5
"280550 POCO VERDE";29,0
"280560 PORTO DA FOLHA";29,1
"280570 PROPRIA";18,3
"280580 RIACHAO DO DANTAS";29,8
"280590 RIACHUELO";16,6
"280600 RIBEIROPOLIS";26,7
"280610 ROSARIO DO CATETE";13,5
"280620 SALGADO";26,3
"280630 SANTA LUZIA DO ITANHY";32,2
"280640 SANTANA DO SAO FRANCISCO";20,8
"280650 SANTA ROSA DE LIMA";26,2
"280660 SANTO AMARO DAS BROTAS";18,2
"280670 SAO CRISTOVAO";12,3
"280680 SAO DOMINGOS";32,4
"280690 SAO FRANCISCO";28,5
"280700 SAO MIGUEL DO ALEIXO";34,4
"280710 SIMAO DIAS";26,0
"280720 SIRIRI";20,0
"280730 TELHA";28,6
"280740 TOBIAS BARRETO";28,4
"280750 TOMAR DO GERU";32,1
"280760 UMBAUBA";25,2
"290010 ABAIRA";20,1
"290020 ABARE";28,0
"290030 ACAJUTIBA";21,3
"290035 ADUSTINA";34,5
"290040 AGUA FRIA";27,5
"290050 ERICO CARDOSO";29,5
"290060 AIQUARA";23,6
"290070 ALAGOINHAS";9,6
"290080 ALCOBACA";23,8
"290090 ALMADINA";32,2
"290100 AMARGOSA";20,7
"290110 AMELIA RODRIGUES";13,4
"290115 AMERICA DOURADA";26,1
"290120 ANAGE";34,5
"290130 ANDARAI";27,3
"290135 ANDORINHA";23,8
"290140 ANGICAL";24,7
"290150 ANGUERA";23,8
"290160 ANTAS";27,7
"290170 ANTONIO CARDOSO";27,2
"290180 ANTONIO GONCALVES";20,1
"290190 APORA";28,0
"290195 APUAREMA";30,7
"290200 ARACATU";28,9
"290205 ARACAS";22,0
"290210 ARACI";32,1
"290220 ARAMARI";19,1
"290225 ARATACA";33,3
"290230 ARATUIPE";24,3
"290240 AURELINO LEAL";25,3
"290250 BAIANOPOLIS";30,9
"290260 BAIXA GRANDE";23,3
"290265 BANZAE";27,1
"290270 BARRA";22,8
"290280 BARRA DA ESTIVA";15,3
"290290 BARRA DO CHOCA";27,0
"290300 BARRA DO MENDES";13,8
"290310 BARRA DO ROCHA";24,3
"290320 BARREIRAS";10,0
"290323 BARRO ALTO";17,2
"290327 BARROCAS";19,7
"290330 BARRO PRETO";25,7
"290340 BELMONTE";23,8
"290350 BELO CAMPO";26,8
"290360 BIRITINGA";25,2
"290370 BOA NOVA";30,4
"290380 BOA VISTA DO TUPIM";29,4
"290390 BOM JESUS DA LAPA";18,6
"290395 BOM JESUS DA SERRA";26,9
"290400 BONINAL";22,2
"290405 BONITO";19,5
"290410 BOQUIRA";23,8
"290420 BOTUPORA";24,5
"290430 BREJOES";22,8
"290440 BREJOLANDIA";23,2
"290450 BROTAS DE MACAUBAS";21,0
"290460 BRUMADO";14,4
"290470 BUERAREMA";23,7
"290475 BURITIRAMA";24,9
"290480 CAATIBA";31,0
"290485 CABACEIRAS DO PARAGUACU";26,4
"290490 CACHOEIRA";16,1
"290500 CACULE";21,2
"290510 CAEM";25,4
"290515 CAETANOS";29,3
"290520 CAETITE";20,1
"290530 CAFARNAUM";21,7
"290540 CAIRU";15,2
"290550 CALDEIRAO GRANDE";26,7
"290560 CAMACAN";23,1
"290570 CAMACARI";7,3
"290580 CAMAMU";24,6
"290590 CAMPO ALEGRE DE LOURDES";27,9
"290600 CAMPO FORMOSO";24,4
"290610 CANAPOLIS";30,4
"290620 CANARANA";18,7
"290630 CANAVIEIRAS";20,5
"290640 CANDEAL";25,2
"290650 CANDEIAS";8,5
"290660 CANDIBA";25,1
"290670 CANDIDO SALES";24,8
"290680 CANSANCAO";27,6
"290682 CANUDOS";24,6
"290685 CAPELA DO ALTO ALEGRE";27,4
"290687 CAPIM GROSSO";19,2
"290689 CARAIBAS";32,9
"290690 CARAVELAS";26,4
"290700 CARDEAL DA SILVA";21,9
"290710 CARINHANHA";24,5
"290720 CASA NOVA";23,3
"290730 CASTRO ALVES";23,2
"290740 CATOLANDIA";25,3
"290750 CATU";10,5
"290755 CATURAMA";27,4
"290760 CENTRAL";20,0
"290770 CHORROCHO";27,5
"290780 CICERO DANTAS";30,5
"290790 CIPO";22,8
"290800 COARACI";22,4
"290810 COCOS";24,4
"290820 CONCEICAO DA FEIRA";16,0
"290830 CONCEICAO DO ALMEIDA";21,6
"290840 CONCEICAO DO COITE";19,2
"290850 CONCEICAO DO JACUIPE";12,7
"290860 CONDE";23,4
"290870 CONDEUBA";27,0
"290880 CONTENDAS DO SINCORA";25,9
"290890 CORACAO DE MARIA";20,8
"290900 CORDEIROS";24,5
"290910 CORIBE";30,7
"290920 CORONEL JOAO SA";39,6
"290930 CORRENTINA";23,1
"290940 COTEGIPE";28,1
"290950 CRAVOLANDIA";27,0
"290960 CRISOPOLIS";32,3
"290970 CRISTOPOLIS";30,6
"290980 CRUZ DAS ALMAS";10,5
"290990 CURACA";26,9
"291000 DARIO MEIRA";32,5
"291005 DIAS D'AVILA";8,3
"291010 DOM BASILIO";22,3
"291020 DOM MACEDO COSTA";19,3
"291030 ELISIO MEDRADO";23,9
"291040 ENCRUZILHADA";30,3
"291050 ENTRE RIOS";16,9
"291060 ESPLANADA";21,2
"291070 EUCLIDES DA CUNHA";26,5
"291072 EUNAPOLIS";14,6
"291075 FATIMA";36,0
"291077 FEIRA DA MATA";21,9
"291080 FEIRA DE SANTANA";8,7
"291085 FILADELFIA";22,5
"291090 FIRMINO ALVES";25,4
"291100 FLORESTA AZUL";30,9
"291110 FORMOSA DO RIO PRETO";21,0
"291120 GANDU";22,8
"291125 GAVIAO";23,9
"291130 GENTIO DO OURO";21,5
"291140 GLORIA";27,7
"291150 GONGOGI";28,0
"291160 GOVERNADOR MANGABEIRA";16,6
"291165 GUAJERU";30,4
"291170 GUANAMBI";14,6
"291180 GUARATINGA";36,0
"291185 HELIOPOLIS";30,6
"291190 IACU";24,8
"291200 IBIASSUCE";19,9
"291210 IBICARAI";21,1
"291220 IBICOARA";16,1
"291230 IBICUI";24,9
"291240 IBIPEBA";17,0
"291250 IBIPITANGA";27,6
"291260 IBIQUERA";29,5
"291270 IBIRAPITANGA";34,4
"291280 IBIRAPUA";23,0
"291290 IBIRATAIA";30,0
"291300 IBITIARA";23,6
"291310 IBITITA";23,0
"291320 IBOTIRAMA";15,9
"291330 ICHU";15,5
"291340 IGAPORA";18,4
"291345 IGRAPIUNA";26,0
"291350 IGUAI";30,9
"291360 ILHEUS";12,3
"291370 INHAMBUPE";23,3
"291380 IPECAETA";27,3
"291390 IPIAU";20,4
"291400 IPIRA";27,7
"291410 IPUPIARA";15,5
"291420 IRAJUBA";26,6
"291430 IRAMAIA";23,0
"291440 IRAQUARA";17,0
"291450 IRARA";22,5
"291460 IRECE";12,6
"291465 ITABELA";24,5
"291470 ITABERABA";17,2
"291480 ITABUNA";10,1
"291490 ITACARE";23,9
"291500 ITAETE";25,9
"291510 ITAGI";29,3
"291520 ITAGIBA";26,5
"291530 ITAGIMIRIM";26,9
"291535 ITAGUACU DA BAHIA";28,5
"291540 ITAJU DO COLONIA";26,5
"291550 ITAJUIPE";20,9
"291560 ITAMARAJU";22,6
"291570 ITAMARI";25,5
"291580 ITAMBE";26,2
"291590 ITANAGRA";25,8
"291600 ITANHEM";23,8
"291610 ITAPARICA";7,4
"291620 ITAPE";21,5
"291630 ITAPEBI";30,7
"291640 ITAPETINGA";14,6
"291650 ITAPICURU";39,1
"291660 ITAPITANGA";25,6
"291670 ITAQUARA";33,6
"291680 ITARANTIM";23,3
"291685 ITATIM";23,0
"291690 ITIRUCU";24,1
"291700 ITIUBA";25,7
"291710 ITORORO";25,2
"291720 ITUACU";26,4
"291730 ITUBERA";17,8
"291733 IUIU";24,9
"291735 JABORANDI";25,4
"291740 JACARACI";23,8
"291750 JACOBINA";16,6
"291760 JAGUAQUARA";27,3
"291770 JAGUARARI";16,4
"291780 JAGUARIPE";27,9
"291790 JANDAIRA";26,5
"291800 JEQUIE";15,1
"291810 JEREMOABO";32,2
"291820 JIQUIRICA";22,9
"291830 JITAUNA";29,4
"291835 JOAO DOURADO";20,0
"291840 JUAZEIRO";12,8
"291845 JUCURUCU";32,8
"291850 JUSSARA";25,0
"291855 JUSSARI";28,8
"291860 JUSSIAPE";21,9
"291870 LAFAIETE COUTINHO";28,1
"291875 LAGOA REAL";26,3
"291880 LAJE";25,1
"291890 LAJEDAO";24,2
"291900 LAJEDINHO";26,9
"291905 LAJEDO DO TABOCAL";28,3
"291910 LAMARAO";32,7
"291915 LAPAO";18,8
"291920 LAURO DE FREITAS";4,5
"291930 LENCOIS";19,6
"291940 LICINIO DE ALMEIDA";22,4
"291950 LIVRAMENTO DE NOSSA SENHORA";21,7
"291955 LUIS EDUARDO MAGALHAES";7,3
"291960 MACAJUBA";27,2
"291970 MACARANI";28,8
"291980 MACAUBAS";27,7
"291990 MACURURE";25,6
"291992 MADRE DE DEUS";4,9
"291995 MAETINGA";32,6
"292000 MAIQUINIQUE";27,3
"292010 MAIRI";24,3
"292020 MALHADA";25,3
"292030 MALHADA DE PEDRAS";25,4
"292040 MANOEL VITORINO";27,0
"292045 MANSIDAO";15,6
"292050 MARACAS";23,8
"292060 MARAGOGIPE";21,8
"292070 MARAU";28,0
"292080 MARCIONILIO SOUZA";30,9
"292090 MASCOTE";29,2
"292100 MATA DE SAO JOAO";11,4
"292105 MATINA";31,3
"292110 MEDEIROS NETO";23,8
"292120 MIGUEL CALMON";20,6
"292130 MILAGRES";21,4
"292140 MIRANGABA";25,4
"292145 MIRANTE";29,3
"292150 MONTE SANTO";34,6
"292160 MORPARA";27,9
"292170 MORRO DO CHAPEU";22,6
"292180 MORTUGABA";26,3
"292190 MUCUGE";19,4
"292200 MUCURI";17,4
"292205 MULUNGU DO MORRO";21,0
"292210 MUNDO NOVO";21,2
"292220 MUNIZ FERREIRA";20,2
"292225 MUQUEM DE SAO FRANCISCO";25,0
"292230 MURITIBA";17,2
"292240 MUTUIPE";23,8
"292250 NAZARE";19,1
"292260 NILO PECANHA";27,1
"292265 NORDESTINA";29,7
"292270 NOVA CANAA";31,3
"292273 NOVA FATIMA";22,5
"292275 NOVA IBIA";28,5
"292280 NOVA ITARANA";29,5
"292285 NOVA REDENCAO";27,3
"292290 NOVA SOURE";30,8
"292300 NOVA VICOSA";19,1
"292303 NOVO HORIZONTE";20,6
"292305 NOVO TRIUNFO";24,1
"292310 OLINDINA";27,3
"292320 OLIVEIRA DOS BREJINHOS";20,2
"292330 OURICANGAS";25,4
"292335 OUROLANDIA";26,7
"292340 PALMAS DE MONTE ALTO";26,1
"292350 PALMEIRAS";16,8
"292360 PARAMIRIM";18,4
"292370 PARATINGA";23,1
"292380 PARIPIRANGA";25,4
"292390 PAU BRASIL";26,6
"292400 PAULO AFONSO";15,8
"292405 PE DE SERRA";23,8
"292410 PEDRAO";21,8
"292420 PEDRO ALEXANDRE";43,3
"292430 PIATA";25,1
"292440 PILAO ARCADO";27,5
"292450 PINDAI";23,2
"292460 PINDOBACU";22,9
"292465 PINTADAS";25,1
"292467 PIRAI DO NORTE";25,0
"292470 PIRIPA";26,5
"292480 PIRITIBA";19,9
"292490 PLANALTINO";30,1
"292500 PLANALTO";29,4
"292510 POCOES";26,2
"292520 POJUCA";8,9
"292525 PONTO NOVO";24,6
"292530 PORTO SEGURO";11,8
"292540 POTIRAGUA";22,1
"292550 PRADO";19,9
"292560 PRESIDENTE DUTRA";16,1
"292570 PRESIDENTE JANIO QUADROS";33,9
"292575 PRESIDENTE TANCREDO NEVES";27,8
"292580 QUEIMADAS";21,9
"292590 QUIJINGUE";33,6
"292593 QUIXABEIRA";30,2
"292595 RAFAEL JAMBEIRO";30,0
"292600 REMANSO";27,5
"292610 RETIROLANDIA";19,4
"292620 RIACHAO DAS NEVES";30,2
"292630 RIACHAO DO JACUIPE";17,0
"292640 RIACHO DE SANTANA";24,8
"292650 RIBEIRA DO AMPARO";36,2
"292660 RIBEIRA DO POMBAL";25,9
"292665 RIBEIRAO DO LARGO";33,0
"292670 RIO DE CONTAS";21,6
"292680 RIO DO ANTONIO";28,1
"292690 RIO DO PIRES";27,3
"292700 RIO REAL";26,2
"292710 RODELAS";22,0
"292720 RUY BARBOSA";21,9
"292730 SALINAS DA MARGARIDA";12,0
"292740 SALVADOR";3,9
"292750 SANTA BARBARA";21,7
"292760 SANTA BRIGIDA";33,7
"292770 SANTA CRUZ CABRALIA";14,9
"292780 SANTA CRUZ DA VITORIA";26,9
"292790 SANTA INES";27,2
"292800 SANTALUZ";23,5
"292805 SANTA LUZIA";28,9
"292810 SANTA MARIA DA VITORIA";22,8
"292820 SANTANA";25,6
"292830 SANTANOPOLIS";21,6
"292840 SANTA RITA DE CASSIA";20,8
"292850 SANTA TERESINHA";27,6
"292860 SANTO AMARO";12,6
"292870 SANTO ANTONIO DE JESUS";12,1
"292880 SANTO ESTEVAO";21,9
"292890 SAO DESIDERIO";25,5
"292895 SAO DOMINGOS";21,5
"292900 SAO FELIX";14,4
"292905 SAO FELIX DO CORIBE";17,7
"292910 SAO FELIPE";22,8
"292920 SAO FRANCISCO DO CONDE";9,7
"292925 SAO GABRIEL";19,3
"292930 SAO GONCALO DOS CAMPOS";14,4
"292935 SAO JOSE DA VITORIA";26,1
"292937 SAO JOSE DO JACUIPE";29,1
"292940 SAO MIGUEL DAS MATAS";25,0
"292950 SAO SEBASTIAO DO PASSE";13,9
"292960 SAPEACU";15,8
"292970 SATIRO DIAS";27,7
"292975 SAUBARA";13,9
"292980 SAUDE";22,4
"292990 SEABRA";14,4
"293000 SEBASTIAO LARANJEIRAS";24,7
"293010 SENHOR DO BONFIM";15,7
"293015 SERRA DO RAMALHO";24,6
"293020 SENTO SE";24,7
"293030 SERRA DOURADA";24,1
"293040 SERRA PRETA";25,6
"293050 SERRINHA";16,5
"293060 SERROLANDIA";21,6
"293070 SIMOES FILHO";7,9
"293075 SITIO DO MATO";23,2
"293076 SITIO DO QUINTO";35,6
"293077 SOBRADINHO";20,1
"293080 SOUTO SOARES";20,3
"293090 TABOCAS DO BREJO VELHO";28,5
"293100 TANHACU";24,9
"293105 TANQUE NOVO";26,2
"293110 TANQUINHO";19,3
"293120 TAPEROA";26,5
"293130 TAPIRAMUTA";23,1
"293135 TEIXEIRA DE FREITAS";14,0
"293140 TEODORO SAMPAIO";23,1
"293150 TEOFILANDIA";22,5
"293160 TEOLANDIA";30,5
"293170 TERRA NOVA";13,4
"293180 TREMEDAL";29,2
"293190 TUCANO";29,1
"293200 UAUA";22,6
"293210 UBAIRA";29,6
"293220 UBAITABA";19,7
"293230 UBATA";28,0
"293240 UIBAI";14,5
"293245 UMBURANAS";25,2
"293250 UNA";22,4
"293260 URANDI";21,4
"293270 URUCUCA";21,2
"293280 UTINGA";22,3
"293290 VALENCA";18,3
"293300 VALENTE";17,1
"293305 VARZEA DA ROCA";28,6
"293310 VARZEA DO POCO";23,0
"293315 VARZEA NOVA";24,1
"293317 VARZEDO";23,7
"293320 VERA CRUZ";11,3
"293325 VEREDA";30,3
"293330 VITORIA DA CONQUISTA";12,9
"293340 WAGNER";22,8
"293345 WANDERLEY";23,7
"293350 WENCESLAU GUIMARAES";27,1
"293360 XIQUE-XIQUE";22,3
"310010 ABADIA DOS DOURADOS";7,9
"310020 ABAETE";8,0
"310030 ABRE CAMPO";12,0
"310040 ACAIACA";14,3
"310050 ACUCENA";21,2
"310060 AGUA BOA";25,3
"310070 AGUA COMPRIDA";7,9
"310080 AGUANIL";12,9
"310090 AGUAS FORMOSAS";23,8
"310100 AGUAS VERMELHAS";28,5
"310110 AIMORES";13,6
"310120 AIURUOCA";13,0
"310130 ALAGOA";14,0
"310140 ALBERTINA";11,0
"310150 ALEM PARAIBA";5,0
"310160 ALFENAS";5,7
"310163 ALFREDO VASCONCELOS";9,8
"310170 ALMENARA";23,8
"310180 ALPERCATA";15,1
"310190 ALPINOPOLIS";6,6
"310200 ALTEROSA";9,6
"310205 ALTO CAPARAO";11,4
"310210 ALTO RIO DOCE";12,2
"310220 ALVARENGA";19,1
"310230 ALVINOPOLIS";11,7
"310240 ALVORADA DE MINAS";20,3
"310250 AMPARO DO SERRA";15,0
"310260 ANDRADAS";8,3
"310270 CACHOEIRA DE PAJEU";28,3
"310280 ANDRELANDIA";9,6
"310285 ANGELANDIA";26,2
"310290 ANTONIO CARLOS";12,2
"310300 ANTONIO DIAS";14,6
"310310 ANTONIO PRADO DE MINAS";11,6
"310320 ARACAI";9,4
"310330 ARACITABA";13,1
"310340 ARACUAI";15,5
"310350 ARAGUARI";4,9
"310360 ARANTINA";7,3
