 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2021
"Município";"Nascim_p/resid.mãe"
"270160 CANAPI";322
"270170 CAPELA";199
"270180 CARNEIROS";141
"270190 CHA PRETA";82
"270200 COITE DO NOIA";151
"270210 COLONIA LEOPOLDINA";278
"270220 COQUEIRO SECO";93
"270230 CORURIPE";885
"270235 CRAIBAS";413
"270240 DELMIRO GOUVEIA";747
"270250 DOIS RIACHOS";152
"270255 ESTRELA DE ALAGOAS";293
"270260 FEIRA GRANDE";331
"270270 FELIZ DESERTO";62
"270280 FLEXEIRAS";159
"270290 GIRAU DO PONCIANO";565
"270300 IBATEGUARA";247
"270310 IGACI";341
"270320 IGREJA NOVA";322
"270330 INHAPI";266
"270340 JACARE DOS HOMENS";97
"270350 JACUIPE";53
"270360 JAPARATINGA";172
"270370 JARAMATAIA";85
"270375 JEQUIA DA PRAIA";175
"270380 JOAQUIM GOMES";343
"270390 JUNDIA";71
"270400 JUNQUEIRO";336
"270410 LAGOA DA CANOA";326
"270420 LIMOEIRO DE ANADIA";379
"270430 MACEIO";13604
"270440 MAJOR ISIDORO";272
"270450 MARAGOGI";628
"270460 MARAVILHA";149
"270470 MARECHAL DEODORO";923
"270480 MARIBONDO";180
"270490 MAR VERMELHO";32
"270500 MATA GRANDE";327
"270510 MATRIZ DE CAMARAGIBE";369
"270520 MESSIAS";246
"270530 MINADOR DO NEGRAO";78
"270540 MONTEIROPOLIS";135
"270550 MURICI";446
"270560 NOVO LINO";144
"270570 OLHO D'AGUA DAS FLORES";380
"270580 OLHO D'AGUA DO CASADO";137
"270590 OLHO D'AGUA GRANDE";61
"270600 OLIVENCA";158
"270610 OURO BRANCO";206
"270620 PALESTINA";89
"270630 PALMEIRA DOS INDIOS";1131
"270640 PAO DE ACUCAR";412
"270642 PARICONHA";156
"270644 PARIPUEIRA";217
"270650 PASSO DE CAMARAGIBE";198
"270660 PAULO JACINTO";98
"270670 PENEDO";929
"270680 PIACABUCU";284
"270690 PILAR";564
"270700 PINDOBA";29
"270710 PIRANHAS";424
"270720 POCO DAS TRINCHEIRAS";205
"270730 PORTO CALVO";387
"270740 PORTO DE PEDRAS";147
"270750 PORTO REAL DO COLEGIO";296
"270760 QUEBRANGULO";185
"270770 RIO LARGO";1359
"270780 ROTEIRO";128
"270790 SANTA LUZIA DO NORTE";112
"270800 SANTANA DO IPANEMA";786
"270810 SANTANA DO MUNDAU";188
"270820 SAO BRAS";97
"270830 SAO JOSE DA LAJE";397
"270840 SAO JOSE DA TAPERA";568
"270850 SAO LUIS DO QUITUNDE";448
"270860 SAO MIGUEL DOS CAMPOS";823
"270870 SAO MIGUEL DOS MILAGRES";143
"270880 SAO SEBASTIAO";483
"270890 SATUBA";327
"270895 SENADOR RUI PALMEIRA";196
"270900 TANQUE D'ARCA";94
"270910 TAQUARANA";283
"270915 TEOTONIO VILELA";618
"270920 TRAIPU";343
"270930 UNIAO DOS PALMARES";1250
"270940 VICOSA";399
"280010 AMPARO DE SAO FRANCISCO";36
"280020 AQUIDABA";252
"280030 ARACAJU";7917
"280040 ARAUA";134
"280050 AREIA BRANCA";247
"280060 BARRA DOS COQUEIROS";570
"280067 BOQUIM";316
"280070 BREJO GRANDE";154
"280100 CAMPO DO BRITO";214
"280110 CANHOBA";64
"280120 CANINDE DE SAO FRANCISCO";509
"280130 CAPELA";571
"280140 CARIRA";288
"280150 CARMOPOLIS";209
"280160 CEDRO DE SAO JOAO";60
"280170 CRISTINAPOLIS";258
"280190 CUMBE";34
"280200 DIVINA PASTORA";82
"280210 ESTANCIA";1055
"280220 FEIRA NOVA";101
"280230 FREI PAULO";235
"280240 GARARU";130
"280250 GENERAL MAYNARD";45
"280260 GRACHO CARDOSO";81
"280270 ILHA DAS FLORES";149
"280280 INDIAROBA";260
"280290 ITABAIANA";1425
"280300 ITABAIANINHA";568
"280310 ITABI";56
"280320 ITAPORANGA D'AJUDA";558
"280330 JAPARATUBA";224
"280340 JAPOATA";220
"280350 LAGARTO";1427
"280360 LARANJEIRAS";371
"280370 MACAMBIRA";79
"280380 MALHADA DOS BOIS";56
"280390 MALHADOR";173
"280400 MARUIM";229
"280410 MOITA BONITA";137
"280420 MONTE ALEGRE DE SERGIPE";254
"280430 MURIBECA";116
"280440 NEOPOLIS";245
"280445 NOSSA SENHORA APARECIDA";121
"280450 NOSSA SENHORA DA GLORIA";648
"280460 NOSSA SENHORA DAS DORES";329
"280470 NOSSA SENHORA DE LOURDES";77
"280480 NOSSA SENHORA DO SOCORRO";2799
"280490 PACATUBA";238
"280500 PEDRA MOLE";44
"280510 PEDRINHAS";113
"280520 PINHAO";80
"280530 PIRAMBU";129
"280540 POCO REDONDO";512
"280550 POCO VERDE";266
"280560 PORTO DA FOLHA";399
"280570 PROPRIA";403
"280580 RIACHAO DO DANTAS";243
"280590 RIACHUELO";144
"280600 RIBEIROPOLIS";172
"280610 ROSARIO DO CATETE";151
"280620 SALGADO";250
"280630 SANTA LUZIA DO ITANHY";234
"280640 SANTANA DO SAO FRANCISCO";106
"280650 SANTA ROSA DE LIMA";65
"280660 SANTO AMARO DAS BROTAS";150
"280670 SAO CRISTOVAO";1224
"280680 SAO DOMINGOS";126
"280690 SAO FRANCISCO";47
"280700 SAO MIGUEL DO ALEIXO";41
"280710 SIMAO DIAS";591
"280720 SIRIRI";96
"280730 TELHA";49
"280740 TOBIAS BARRETO";674
"280750 TOMAR DO GERU";167
"280760 UMBAUBA";409
" MUNICIPIO IGNORADO - BA";4
"290010 ABAIRA";49
"290020 ABARE";311
"290030 ACAJUTIBA";172
"290035 ADUSTINA";181
"290040 AGUA FRIA";130
"290050 ERICO CARDOSO";123
"290060 AIQUARA";38
"290070 ALAGOINHAS";2016
"290080 ALCOBACA";373
"290090 ALMADINA";53
"290100 AMARGOSA";431
"290110 AMELIA RODRIGUES";151
"290115 AMERICA DOURADA";205
"290120 ANAGE";225
"290130 ANDARAI";170
"290135 ANDORINHA";176
"290140 ANGICAL";191
"290150 ANGUERA";49
"290160 ANTAS";162
"290170 ANTONIO CARDOSO";111
"290180 ANTONIO GONCALVES";133
"290190 APORA";191
"290195 APUAREMA";113
"290200 ARACATU";172
"290205 ARACAS";140
"290210 ARACI";634
"290220 ARAMARI";124
"290225 ARATACA";99
"290230 ARATUIPE";127
"290240 AURELINO LEAL";190
"290250 BAIANOPOLIS";137
"290260 BAIXA GRANDE";188
"290265 BANZAE";153
"290270 BARRA";900
"290280 BARRA DA ESTIVA";370
"290290 BARRA DO CHOCA";480
"290300 BARRA DO MENDES";178
"290310 BARRA DO ROCHA";74
"290320 BARREIRAS";2504
"290323 BARRO ALTO";141
"290327 BARROCAS";204
"290330 BARRO PRETO";72
"290340 BELMONTE";282
"290350 BELO CAMPO";220
"290360 BIRITINGA";196
"290370 BOA NOVA";157
"290380 BOA VISTA DO TUPIM";222
"290390 BOM JESUS DA LAPA";1099
"290395 BOM JESUS DA SERRA";120
"290400 BONINAL";173
"290405 BONITO";216
"290410 BOQUIRA";260
"290420 BOTUPORA";132
"290430 BREJOES";156
"290440 BREJOLANDIA";96
"290450 BROTAS DE MACAUBAS";134
"290460 BRUMADO";865
"290470 BUERAREMA";231
"290475 BURITIRAMA";329
"290480 CAATIBA";62
"290485 CABACEIRAS DO PARAGUACU";255
"290490 CACHOEIRA";320
"290500 CACULE";312
"290510 CAEM";143
"290515 CAETANOS";112
"290520 CAETITE";619
"290530 CAFARNAUM";276
"290540 CAIRU";254
"290550 CALDEIRAO GRANDE";177
"290560 CAMACAN";385
"290570 CAMACARI";3907
"290580 CAMAMU";554
"290590 CAMPO ALEGRE DE LOURDES";512
"290600 CAMPO FORMOSO";1111
"290610 CANAPOLIS";135
"290620 CANARANA";339
"290630 CANAVIEIRAS";478
"290640 CANDEAL";67
"290650 CANDEIAS";922
"290660 CANDIBA";140
"290670 CANDIDO SALES";292
"290680 CANSANCAO";472
"290682 CANUDOS";216
"290685 CAPELA DO ALTO ALEGRE";123
"290687 CAPIM GROSSO";415
"290689 CARAIBAS";97
"290690 CARAVELAS";279
"290700 CARDEAL DA SILVA";127
"290710 CARINHANHA";452
"290720 CASA NOVA";1042
"290730 CASTRO ALVES";340
"290740 CATOLANDIA";52
"290750 CATU";496
"290755 CATURAMA";76
"290760 CENTRAL";234
"290770 CHORROCHO";166
"290780 CICERO DANTAS";332
"290790 CIPO";272
"290800 COARACI";225
"290810 COCOS";219
"290820 CONCEICAO DA FEIRA";182
"290830 CONCEICAO DO ALMEIDA";182
"290840 CONCEICAO DO COITE";995
"290850 CONCEICAO DO JACUIPE";289
"290860 CONDE";347
"290870 CONDEUBA";167
"290880 CONTENDAS DO SINCORA";38
"290890 CORACAO DE MARIA";214
"290900 CORDEIROS";67
"290910 CORIBE";137
"290920 CORONEL JOAO SA";166
"290930 CORRENTINA";461
"290940 COTEGIPE";189
"290950 CRAVOLANDIA";56
"290960 CRISOPOLIS";250
"290970 CRISTOPOLIS";154
"290980 CRUZ DAS ALMAS";690
"290990 CURACA";547
"291000 DARIO MEIRA";144
"291005 DIAS D'AVILA";942
"291010 DOM BASILIO";140
"291020 DOM MACEDO COSTA";37
"291030 ELISIO MEDRADO";76
"291040 ENCRUZILHADA";246
"291050 ENTRE RIOS";489
"291060 ESPLANADA";423
"291070 EUCLIDES DA CUNHA";747
"291072 EUNAPOLIS";1657
"291075 FATIMA";203
"291077 FEIRA DA MATA";64
"291080 FEIRA DE SANTANA";9383
"291085 FILADELFIA";240
"291090 FIRMINO ALVES";49
"291100 FLORESTA AZUL";80
"291110 FORMOSA DO RIO PRETO";452
"291120 GANDU";429
"291125 GAVIAO";41
"291130 GENTIO DO OURO";127
"291140 GLORIA";247
"291150 GONGOGI";69
"291160 GOVERNADOR MANGABEIRA";261
"291165 GUAJERU";49
"291170 GUANAMBI";1198
"291180 GUARATINGA";202
"291185 HELIOPOLIS";123
"291190 IACU";342
"291200 IBIASSUCE";100
"291210 IBICARAI";225
"291220 IBICOARA";287
"291230 IBICUI";124
"291240 IBIPEBA";205
"291250 IBIPITANGA";135
"291260 IBIQUERA";51
"291270 IBIRAPITANGA";305
"291280 IBIRAPUA";109
"291290 IBIRATAIA";307
"291300 IBITIARA";144
"291310 IBITITA";212
"291320 IBOTIRAMA";381
"291330 ICHU";54
"291340 IGAPORA";136
"291345 IGRAPIUNA";162
"291350 IGUAI";326
"291360 ILHEUS";2142
"291370 INHAMBUPE";419
"291380 IPECAETA";128
"291390 IPIAU";615
"291400 IPIRA";650
"291410 IPUPIARA";91
"291420 IRAJUBA";65
"291430 IRAMAIA";93
"291440 IRAQUARA";385
"291450 IRARA";252
"291460 IRECE";1336
"291465 ITABELA";519
"291470 ITABERABA";844
"291480 ITABUNA";2348
"291490 ITACARE";438
"291500 ITAETE";201
"291510 ITAGI";161
"291520 ITAGIBA";194
"291530 ITAGIMIRIM";61
"291535 ITAGUACU DA BAHIA";177
"291540 ITAJU DO COLONIA";74
"291550 ITAJUIPE";197
"291560 ITAMARAJU";945
"291570 ITAMARI";146
"291580 ITAMBE";284
"291590 ITANAGRA";88
"291600 ITANHEM";178
"291610 ITAPARICA";296
"291620 ITAPE";116
"291630 ITAPEBI";122
"291640 ITAPETINGA";1007
"291650 ITAPICURU";361
"291660 ITAPITANGA";71
"291670 ITAQUARA";87
"291680 ITARANTIM";194
"291685 ITATIM";176
"291690 ITIRUCU";128
"291700 ITIUBA";441
"291710 ITORORO";212
"291720 ITUACU";223
"291730 ITUBERA";291
"291733 IUIU";141
"291735 JABORANDI";148
"291740 JACARACI";125
"291750 JACOBINA";1310
"291760 JAGUAQUARA";646
"291770 JAGUARARI";442
"291780 JAGUARIPE";199
"291790 JANDAIRA";129
"291800 JEQUIE";2157
"291810 JEREMOABO";496
"291820 JIQUIRICA";158
"291830 JITAUNA";178
"291835 JOAO DOURADO";346
"291840 JUAZEIRO";4014
"291845 JUCURUCU";104
"291850 JUSSARA";208
"291855 JUSSARI";51
"291860 JUSSIAPE";65
"291870 LAFAIETE COUTINHO";43
"291875 LAGOA REAL";137
"291880 LAJE";254
"291890 LAJEDAO";47
"291900 LAJEDINHO";55
"291905 LAJEDO DO TABOCAL";70
"291910 LAMARAO";110
"291915 LAPAO";425
"291920 LAURO DE FREITAS";2870
"291930 LENCOIS";132
"291940 LICINIO DE ALMEIDA";118
"291950 LIVRAMENTO DE NOSSA SENHORA";481
"291955 LUIS EDUARDO MAGALHAES";2026
"291960 MACAJUBA";124
"291970 MACARANI";178
"291980 MACAUBAS";531
"291990 MACURURE";88
"291992 MADRE DE DEUS";203
"291995 MAETINGA";79
"292000 MAIQUINIQUE";116
"292010 MAIRI";179
"292020 MALHADA";251
"292030 MALHADA DE PEDRAS";89
"292040 MANOEL VITORINO";177
"292045 MANSIDAO";79
"292050 MARACAS";316
"292060 MARAGOGIPE";430
"292070 MARAU";283
"292080 MARCIONILIO SOUZA";88
"292090 MASCOTE";125
"292100 MATA DE SAO JOAO";717
"292105 MATINA";141
"292110 MEDEIROS NETO";321
"292120 MIGUEL CALMON";329
"292130 MILAGRES";146
"292140 MIRANGABA";192
"292145 MIRANTE";90
"292150 MONTE SANTO";656
"292160 MORPARA";101
"292170 MORRO DO CHAPEU";449
"292180 MORTUGABA";108
"292190 MUCUGE";159
"292200 MUCURI";619
"292205 MULUNGU DO MORRO";201
"292210 MUNDO NOVO";156
"292220 MUNIZ FERREIRA";71
"292225 MUQUEM DE SAO FRANCISCO";175
"292230 MURITIBA";325
"292240 MUTUIPE";264
"292250 NAZARE";277
"292260 NILO PECANHA";168
"292265 NORDESTINA";166
"292270 NOVA CANAA";153
"292273 NOVA FATIMA";80
"292275 NOVA IBIA";50
"292280 NOVA ITARANA";112
"292285 NOVA REDENCAO";70
"292290 NOVA SOURE";323
"292300 NOVA VICOSA";514
"292303 NOVO HORIZONTE";134
"292305 NOVO TRIUNFO";97
"292310 OLINDINA";284
"292320 OLIVEIRA DOS BREJINHOS";292
"292330 OURICANGAS";97
"292335 OUROLANDIA";252
"292340 PALMAS DE MONTE ALTO";235
"292350 PALMEIRAS";164
"292360 PARAMIRIM";254
"292370 PARATINGA";382
"292380 PARIPIRANGA";252
"292390 PAU BRASIL";136
"292400 PAULO AFONSO";1670
"292405 PE DE SERRA";140
"292410 PEDRAO";57
"292420 PEDRO ALEXANDRE";206
"292430 PIATA";252
"292440 PILAO ARCADO";569
"292450 PINDAI";187
"292460 PINDOBACU";252
"292465 PINTADAS";88
"292467 PIRAI DO NORTE";84
"292470 PIRIPA";94
"292480 PIRITIBA";231
"292490 PLANALTINO";75
"292500 PLANALTO";262
"292510 POCOES";600
"292520 POJUCA";449
"292525 PONTO NOVO";289
"292530 PORTO SEGURO";2777
"292540 POTIRAGUA";110
"292550 PRADO";563
"292560 PRESIDENTE DUTRA";138
"292570 PRESIDENTE JANIO QUADROS";133
"292575 PRESIDENTE TANCREDO NEVES";406
"292580 QUEIMADAS";328
"292590 QUIJINGUE";332
"292593 QUIXABEIRA";92
"292595 RAFAEL JAMBEIRO";222
"292600 REMANSO";599
"292610 RETIROLANDIA";168
"292620 RIACHAO DAS NEVES";271
"292630 RIACHAO DO JACUIPE";390
"292640 RIACHO DE SANTANA";315
"292650 RIBEIRA DO AMPARO";187
"292660 RIBEIRA DO POMBAL";741
"292665 RIBEIRAO DO LARGO";91
"292670 RIO DE CONTAS";141
"292680 RIO DO ANTONIO";113
"292690 RIO DO PIRES";94
"292700 RIO REAL";509
"292710 RODELAS";166
"292720 RUY BARBOSA";393
"292730 SALINAS DA MARGARIDA";172
"292740 SALVADOR";28598
"292750 SANTA BARBARA";219
"292760 SANTA BRIGIDA";194
"292770 SANTA CRUZ CABRALIA";461
"292780 SANTA CRUZ DA VITORIA";58
"292790 SANTA INES";106
"292800 SANTALUZ";520
"292805 SANTA LUZIA";163
"292810 SANTA MARIA DA VITORIA";490
"292820 SANTANA";296
"292830 SANTANOPOLIS";58
"292840 SANTA RITA DE CASSIA";381
"292850 SANTA TERESINHA";122
"292860 SANTO AMARO";628
"292870 SANTO ANTONIO DE JESUS";1343
"292880 SANTO ESTEVAO";603
"292890 SAO DESIDERIO";650
"292895 SAO DOMINGOS";86
"292900 SAO FELIX";138
"292905 SAO FELIX DO CORIBE";203
"292910 SAO FELIPE";225
"292920 SAO FRANCISCO DO CONDE";459
"292925 SAO GABRIEL";241
"292930 SAO GONCALO DOS CAMPOS";340
"292935 SAO JOSE DA VITORIA";71
"292937 SAO JOSE DO JACUIPE";149
"292940 SAO MIGUEL DAS MATAS";121
"292950 SAO SEBASTIAO DO PASSE";418
"292960 SAPEACU";220
"292970 SATIRO DIAS";208
"292975 SAUBARA";110
"292980 SAUDE";106
"292990 SEABRA";629
"293000 SEBASTIAO LARANJEIRAS";86
"293010 SENHOR DO BONFIM";1001
"293015 SERRA DO RAMALHO";593
"293020 SENTO SE";521
"293030 SERRA DOURADA";240
"293040 SERRA PRETA";108
"293050 SERRINHA";1107
"293060 SERROLANDIA";148
"293070 SIMOES FILHO";1746
"293075 SITIO DO MATO";214
"293076 SITIO DO QUINTO";127
"293077 SOBRADINHO";387
"293080 SOUTO SOARES";216
"293090 TABOCAS DO BREJO VELHO";125
"293100 TANHACU";221
"293105 TANQUE NOVO";201
"293110 TANQUINHO";69
"293120 TAPEROA";268
"293130 TAPIRAMUTA";194
"293135 TEIXEIRA DE FREITAS";2477
"293140 TEODORO SAMPAIO";56
"293150 TEOFILANDIA";269
"293160 TEOLANDIA";166
"293170 TERRA NOVA";93
"293180 TREMEDAL";178
"293190 TUCANO";599
"293200 UAUA";267
"293210 UBAIRA";210
"293220 UBAITABA";220
"293230 UBATA";198
"293240 UIBAI";124
"293245 UMBURANAS";175
"293250 UNA";235
"293260 URANDI";179
"293270 URUCUCA";322
"293280 UTINGA";229
"293290 VALENCA";1279
"293300 VALENTE";251
"293305 VARZEA DA ROCA";117
"293310 VARZEA DO POCO";89
"293315 VARZEA NOVA";188
"293317 VARZEDO";119
"293320 VERA CRUZ";536
"293325 VEREDA";91
"293330 VITORIA DA CONQUISTA";5242
"293340 WAGNER";91
"293345 WANDERLEY";175
"293350 WENCESLAU GUIMARAES";358
"293360 XIQUE-XIQUE";901
" MUNICIPIO IGNORADO - MG";2
"310010 ABADIA DOS DOURADOS";47
"310020 ABAETE";200
"310030 ABRE CAMPO";172
"310040 ACAIACA";46
"310050 ACUCENA";70
"310060 AGUA BOA";142
"310070 AGUA COMPRIDA";20
"310080 AGUANIL";40
"310090 AGUAS FORMOSAS";294
"310100 AGUAS VERMELHAS";165
"310110 AIMORES";324
"310120 AIURUOCA";62
"310130 ALAGOA";24
"310140 ALBERTINA";28
"310150 ALEM PARAIBA";340
"310160 ALFENAS";954
"310163 ALFREDO VASCONCELOS";86
"310170 ALMENARA";570
"310180 ALPERCATA";81
"310190 ALPINOPOLIS";218
"310200 ALTEROSA";146
"310205 ALTO CAPARAO";83
"310210 ALTO RIO DOCE";94
"310220 ALVARENGA";50
"310230 ALVINOPOLIS";133
"310240 ALVORADA DE MINAS";53
"310250 AMPARO DO SERRA";44
"310260 ANDRADAS";465
"310270 CACHOEIRA DE PAJEU";85
"310280 ANDRELANDIA";115
"310285 ANGELANDIA";126
"310290 ANTONIO CARLOS";110
"310300 ANTONIO DIAS";89
"310310 ANTONIO PRADO DE MINAS";9
"310320 ARACAI";10
"310330 ARACITABA";17
"310340 ARACUAI";425
"310350 ARAGUARI";1255
"310360 ARANTINA";34
"310370 ARAPONGA";117
"310375 ARAPORA";128
"310380 ARAPUA";21
"310390 ARAUJOS";112
"310400 ARAXA";1440
"310410 ARCEBURGO";54
"310420 ARCOS";480
"310430 AREADO";137
"310440 ARGIRITA";26
"310445 ARICANDUVA";63
"310450 ARINOS";197
"310460 ASTOLFO DUTRA";100
"310470 ATALEIA";143
"310480 AUGUSTO DE LIMA";44
"310490 BAEPENDI";177
"310500 BALDIM";70
"310510 BAMBUI";231
"310520 BANDEIRA";45
"310530 BANDEIRA DO SUL";71
"310540 BARAO DE COCAIS";374
"310550 BARAO DE MONTE ALTO";48
"310560 BARBACENA";1346
"310570 BARRA LONGA";55
"310590 BARROSO";239
"310600 BELA VISTA DE MINAS";111
"310610 BELMIRO BRAGA";30
"310620 BELO HORIZONTE";25028
"310630 BELO ORIENTE";329
"310640 BELO VALE";96
"310650 BERILO";79
"310660 BERTOPOLIS";86
"310665 BERIZAL";57
"310670 BETIM";5592
"310680 BIAS FORTES";19
"310690 BICAS";142
"310700 BIQUINHAS";21
"310710 BOA ESPERANCA";468
"310720 BOCAINA DE MINAS";25
"310730 BOCAIUVA";634
"310740 BOM DESPACHO";651
"310750 BOM JARDIM DE MINAS";54
"310760 BOM JESUS DA PENHA";50
"310770 BOM JESUS DO AMPARO";72
"310780 BOM JESUS DO GALHO";169
"310790 BOM REPOUSO";161
"310800 BOM SUCESSO";146
"310810 BONFIM";41
"310820 BONFINOPOLIS DE MINAS";46
"310825 BONITO DE MINAS";134
"310830 BORDA DA MATA";150
"310840 BOTELHOS";129
"310850 BOTUMIRIM";61
"310855 BRASILANDIA DE MINAS";244
"310860 BRASILIA DE MINAS";494
"310870 BRAS PIRES";36
"310880 BRAUNAS";58
"310890 BRAZOPOLIS";144
"310900 BRUMADINHO";508
"310910 BUENO BRANDAO";88
"310920 BUENOPOLIS";95
"310925 BUGRE";37
"310930 BURITIS";362
"310940 BURITIZEIRO";311
"310945 CABECEIRA GRANDE";57
"310950 CABO VERDE";112
"310960 CACHOEIRA DA PRATA";32
"310970 CACHOEIRA DE MINAS";117
"310980 CACHOEIRA DOURADA";14
"310990 CAETANOPOLIS";111
"311000 CAETE";405
"311010 CAIANA";53
"311020 CAJURI";49
"311030 CALDAS";89
"311040 CAMACHO";41
"311050 CAMANDUCAIA";265
"311060 CAMBUI";295
"311070 CAMBUQUIRA";152
"311080 CAMPANARIO";27
"311090 CAMPANHA";177
"311100 CAMPESTRE";232
"311110 CAMPINA VERDE";148
"311115 CAMPO AZUL";31
"311120 CAMPO BELO";583
"311130 CAMPO DO MEIO";119
"311140 CAMPO FLORIDO";99
"311150 CAMPOS ALTOS";170
"311160 CAMPOS GERAIS";275
"311170 CANAA";39
"311180 CANAPOLIS";119
"311190 CANA VERDE";46
"311200 CANDEIAS";110
"311205 CANTAGALO";54
"311210 CAPARAO";86
"311220 CAPELA NOVA";47
"311230 CAPELINHA";589
"311240 CAPETINGA";76
"311250 CAPIM BRANCO";105
"311260 CAPINOPOLIS";164
"311265 CAPITAO ANDRADE";50
"311270 CAPITAO ENEAS";210
"311280 CAPITOLIO";131
"311290 CAPUTIRA";130
"311300 CARAI";255
"311310 CARANAIBA";30
"311320 CARANDAI";255
"311330 CARANGOLA";417
"311340 CARATINGA";1137
"311350 CARBONITA";91
"311360 CAREACU";67
"311370 CARLOS CHAGAS";230
"311380 CARMESIA";34
"311390 CARMO DA CACHOEIRA";125
"311400 CARMO DA MATA";90
"311410 CARMO DE MINAS";136
"311420 CARMO DO CAJURU";272
"311430 CARMO DO PARANAIBA";278
"311440 CARMO DO RIO CLARO";215
"311450 CARMOPOLIS DE MINAS";216
"311455 CARNEIRINHO";82
"311460 CARRANCAS";56
"311470 CARVALHOPOLIS";25
"311480 CARVALHOS";42
"311490 CASA GRANDE";22
"311500 CASCALHO RICO";35
"311510 CASSIA";212
"311520 CONCEICAO DA BARRA DE MINAS";30
"311530 CATAGUASES";651
"311535 CATAS ALTAS";69
"311540 CATAS ALTAS DA NORUEGA";35
"311545 CATUJI";123
"311547 CATUTI";48
"311550 CAXAMBU";211
"311560 CEDRO DO ABAETE";6
"311570 CENTRAL DE MINAS";80
"311580 CENTRALINA";109
"311590 CHACARA";32
"311600 CHALE";78
"311610 CHAPADA DO NORTE";94
"311615 CHAPADA GAUCHA";207
"311620 CHIADOR";29
"311630 CIPOTANEA";43
"311640 CLARAVAL";13
"311650 CLARO DOS POCOES";62
"311660 CLAUDIO";365
"311670 COIMBRA";61
"311680 COLUNA";115
"311690 COMENDADOR GOMES";27
"311700 COMERCINHO";47
"311710 CONCEICAO DA APARECIDA";110
"311720 CONCEICAO DAS PEDRAS";26
"311730 CONCEICAO DAS ALAGOAS";351
"311740 CONCEICAO DE IPANEMA";50
"311750 CONCEICAO DO MATO DENTRO";285
"311760 CONCEICAO DO PARA";63
"311770 CONCEICAO DO RIO VERDE";146
"311780 CONCEICAO DOS OUROS";104
"311783 CONEGO MARINHO";77
"311787 CONFINS";89
"311790 CONGONHAL";124
"311800 CONGONHAS";715
"311810 CONGONHAS DO NORTE";65
"311820 CONQUISTA";55
"311830 CONSELHEIRO LAFAIETE";1560
"311840 CONSELHEIRO PENA";233
"311850 CONSOLACAO";18
"311860 CONTAGEM";7564
"311870 COQUEIRAL";87
"311880 CORACAO DE JESUS";259
"311890 CORDISBURGO";71
"311900 CORDISLANDIA";40
"311910 CORINTO";283
"311920 COROACI";86
"311930 COROMANDEL";295
"311940 CORONEL FABRICIANO";1218
"311950 CORONEL MURTA";98
"311960 CORONEL PACHECO";23
"311970 CORONEL XAVIER CHAVES";36
"311980 CORREGO DANTA";21
"311990 CORREGO DO BOM JESUS";23
"311995 CORREGO FUNDO";46
"312000 CORREGO NOVO";30
"312010 COUTO DE MAGALHAES DE MINAS";50
"312015 CRISOLITA";98
"312020 CRISTAIS";122
"312030 CRISTALIA";93
"312040 CRISTIANO OTONI";59
"312050 CRISTINA";110
"312060 CRUCILANDIA";43
"312070 CRUZEIRO DA FORTALEZA";47
"312080 CRUZILIA";195
"312083 CUPARAQUE";79
"312087 CURRAL DE DENTRO";97
"312090 CURVELO";957
"312100 DATAS";63
"312110 DELFIM MOREIRA";84
"312120 DELFINOPOLIS";98
"312125 DELTA";141
"312130 DESCOBERTO";48
"312140 DESTERRO DE ENTRE RIOS";74
"312150 DESTERRO DO MELO";25
"312160 DIAMANTINA";649
"312170 DIOGO DE VASCONCELOS";38
"312180 DIONISIO";40
"312190 DIVINESIA";52
"312200 DIVINO";268
"312210 DIVINO DAS LARANJEIRAS";55
"312220 DIVINOLANDIA DE MINAS";93
"312230 DIVINOPOLIS";2601
"312235 DIVISA ALEGRE";64
"312240 DIVISA NOVA";74
"312245 DIVISOPOLIS";81
"312247 DOM BOSCO";57
"312250 DOM CAVATI";60
"312260 DOM JOAQUIM";65
"312270 DOM SILVERIO";40
"312280 DOM VICOSO";25
"312290 DONA EUSEBIA";67
"312300 DORES DE CAMPOS";107
"312310 DORES DE GUANHAES";66
"312320 DORES DO INDAIA";108
"312330 DORES DO TURVO";37
"312340 DORESOPOLIS";12
"312350 DOURADOQUARA";14
"312352 DURANDE";150
"312360 ELOI MENDES";319
"312370 ENGENHEIRO CALDAS";128
"312380 ENGENHEIRO NAVARRO";84
"312385 ENTRE FOLHAS";76
"312390 ENTRE RIOS DE MINAS";183
"312400 ERVALIA";247
"312410 ESMERALDAS";1006
"312420 ESPERA FELIZ";328
"312430 ESPINOSA";378
"312440 ESPIRITO SANTO DO DOURADO";105
"312450 ESTIVA";110
"312460 ESTRELA DALVA";21
"312470 ESTRELA DO INDAIA";18
"312480 ESTRELA DO SUL";83
"312490 EUGENOPOLIS";97
"312500 EWBANK DA CAMARA";57
"312510 EXTREMA";774
"312520 FAMA";19
"312530 FARIA LEMOS";33
"312540 FELICIO DOS SANTOS";68
"312550 SAO GONCALO DO RIO PRETO";17
"312560 FELISBURGO";81
"312570 FELIXLANDIA";132
"312580 FERNANDES TOURINHO";22
"312590 FERROS";79
"312595 FERVEDOURO";137
"312600 FLORESTAL";73
"312610 FORMIGA";667
"312620 FORMOSO";97
"312630 FORTALEZA DE MINAS";31
"312640 FORTUNA DE MINAS";45
"312650 FRANCISCO BADARO";62
